blend_id,name,badge_line_1,badge_line_2,roast_level,note_1,note_2,note_3,highlighted_note,description,bottom_mode,roast_date,accent_color,texture_path
djima-medium,דג׳ימה בינונית,אתיופיה דג׳ימה,100% ערביקה,קלייה בינונית,שוקולד מריר,מוקה,יין,1,זן ערביקה בעל שילוב טעמים נהדר של  שוקולדיות מוקה ונגיעות יין אדום. הסיומת ארוכה ומתווסף אחרי הלגימה גם טעם של תפוח ירוק.,roast_date,19/05/2026,#000000,textures/djima-medium.jpg
guatamala-dark,גואטמלה בינונית כהה,גואטמלה,100% ערביקה,קלייה בינונית כהה,אגוזי לוז,מייפל,שוקולד מריר,1,"זן ערביקה המאופיין בטעמים של שוקולד מריר קקאו וקורט אגוז לוז, הסיומת ארוכה ובחלל הפה מצטרפים טעמים מתוקים המזכירים מייפל.",roast_date,19/05/2026,#000000,textures/guatamala-dark.jpg
goji-dark,גוג׳י בינונית,אתיופיה גוג׳י,100% ערביקה,קלייה בינונית כהה,שוקולדי,מוקה,סוכר חום,1,זן ערביקה אתיופי הגדל באזור גוג’י שבמחוז סידמו. בעל טעמים שוקולדים עם מתיקות עשירה של סוכר חום הסיומת הארוכה והעגולה משאירה בפה טעמי מוקה,roast_date,19/05/2026,#000000,textures/goji-dark.jpg
mj-dark,mj בינונית כהה,MokaDjima,100% ערביקה,קלייה בינונית כהה,שוקולד,אגוז,קקאו,1,"שני זנים אתיופים נותנים לתערובת טעמי אגוז, שוקולד מריר וקקאו, הזן הנוסף הוא קולומביה סופרימו הנותן טעם קרמלי עם מתיקות עשירה – מתקבל אספרסו עם גוף מלא ושפע טעמים.",roast_date,19/05/2026,#000000,textures/mj-dark.jpg
ravello-dark,רוולו בינוני כהה,תערובת Ravello,70% ערביקה,קלייה בינונית כהה,שוקולד מריר,מוקה,אגוזי,3,קפה שפגשנו בעיירה Ravello – דרום איטליה. בית קלייה מקומי רקח זני ערביקה בטעמי אגוז יחד עם זן רובוסטה הודי. התוצאה נהדרת: קפה שופע בטעמי שוקולד מריר מוקה ואגוז עם גוף מלא והמון קרמה.,roast_date,19/05/2026,#000000,textures/ravello-dark.jpg
oliveri,אוליברי,תערובת Oliveri,100% ערביקה,קלייה בינונית כהה,שוקולד מריר,אפרסק,קרמל,1,"תערובת בסגנון סיציליאני המורכבת מ-50% זני ערביקה בקלייה בהירהו-50% זני ערביקה בקלייה כהה.  שילוב הזנים ושני סגנונות הקלייה, מפיקים טעמים מורכבים של שוקולד מריר יחד עם טעמי חמיצות ומתיקות של אפרסק וקרמל המהדהדים בפה, הרבה לאחר הלגימה.",roast_date,19/05/2026,#db4e1f,textures/oliveri.jpg
sidamo-dark,סידמו,אתיופיה סידמו,100% ערביקה,קלייה בינונית כהה,שוקולד מריר,אננס,דבש,1,אתיופיה סידמו הינו קפה מקבוצת זני הערביקה. בעל פירותיות מודגשת ונעימה של אננס יחד עם טעמי שוקולד מריר.  אחרי הלגימה הטעמים הללו מודגשים יותר ונוספים להם מעט טעמי דבש. בזכות טעמו המשובח הוא נחשב לאצולת זני הערביקה.,roast_date,19/05/2026,#c58516,textures/sidamo-dark.jpg
70-dark,קלאסי חזק,קלאסי חזק,70% ערביקה,קלייה בינונית כהה,שוקולד מריר,חזק,מוקה,1,"זני הערביקה ממרכז ודרום אמריקה הם הבסיס העשיר של הארומה והטעם השוקולדי לאיזון, זני הרובוסטה האסייתיים מוסיפים חוזק וקרמה. התוצאה היא אספרסו עשיר המשאיר בפה טעם של שוקולדיות ומוקה עם שכבת קרמה עבה ודחוסה בצבע חום כהה.",roast_date,19/05/2026,#351e18,textures/70-dark.jpg
limo-dark,לימו בינונית כהה,אתיופיה לימו,100% ערביקה,קלייה בינונית כהה,שוקולד מריר,בלה,בלה,1,בלה,roast_date,19/05/2026,#351e18,textures/limo-dark.jpg
brasil-dark,ברזיל בינונית כהה,ברזיל סרדו,100% ערביקה,קלייה בינונית כהה,מתיקות,קרמל,הדרים,2,"קפה ערביקה נהדר עם טעמים קלאסים יש בו המון מתיקות, שוקולדיות נהדרת ופירותיות קלילה של תפוז. גוף בינוני וסיומת ארוכה עם מתיקות קרמלית.",roast_date,19/05/2026,#351e18,textures/brasil-dark.jpg
